ratings,price,processor,ram,operating_system,rom,display,brand,ram_type,rom_type
4.26,32990.0,intel core i3  (12th gen),8,windows 11,512,15.6 ,acer,ddr4,ssd
4.23,33990.0,amd ryzen 3 hexa core ,8,windows 11,512,15.6 ,lenovo,ddr4,ssd
3.81,17990.0,intel celeron dual core ,4,chrome,,14 ,asus,lpddr4x,
3.81,19990.0,intel celeron dual core ,4,chrome,,15.6 ,asus,lpddr4x,
4.27,43490.0,amd ryzen 5 hexa core ,16,windows 11,512,15.6 ,hp,ddr4,ssd
4.93,74990.0,intel core i5  (13th gen),16,windows 11,512,14 ,asus,lpddr5,ssd
4.42,76990.0,amd ryzen 7 octa core ,16,windows 11,1,14 ,asus,lpddr4x,ssd
4.11,29990.0,intel core i3  (12th gen),8,windows 11,512,14 ,infinix,lpddr4x,ssd
3.75,18990.0,intel celeron dual core  (11th gen),8,64 bit windows 11,256,15.6 ,chuwi,ddr4,ssd
3.91,21990.0,intel celeron dual core ,4,64 bit chrome,,14 ,hp,lpddr4,
4.18,105900.0,intel core i7  (12th gen),16,windows 11,512,13.3 ,hp,lpddr4x,ssd
4.61,126890.0,apple m3 ,8,mac os,256,15 ,apple,unified,ssd
3.61,17990.0,mediatek kompanio 520 ,4,chrome,,14 ,lenovo,lpddr4x,
,16490.0,intel celeron dual core ,4,64 bit windows 11,128,14.1 ,thomson,lpddr4,ssd
3.51,13990.0,intel celeron dual core  (10th gen),4,software,128,11.6 ,chuwi,lpddr4,ssd
4.21,35990.0,intel core i3  (12th gen),8,windows 11,512,39.62 cm,lenovo,ddr4,ssd
,92999.0,intel core i7  (13th gen),16,64 bit windows 11,1,14 ,hp,lpddr5x,ssd
4.73,49990.0,intel core i5  (12th gen),8,windows 11,512,15.6 ,asus,ddr4,ssd
3.88,20990.0,intel celeron dual core ,8,chrome,,15.6 ,asus,lpddr4x,
3.88,17990.0,intel celeron dual core ,4,chrome,,15.6 ,asus,lpddr4x,
,74790.0,intel core i5  (13th gen),8,64 bit windows 11,512,15.6 ,dell,ddr5,ssd
4.32,72490.0,amd ryzen 5 hexa core ,16,windows 11,512,13.3 ,hp,lpddr5,ssd
,51490.0,intel core i5  (13th gen),8,windows 11,512,15.6 ,dell,ddr4,ssd
,31960.0,amd ryzen 3 hexa core  (3rd gen),8,windows 11,512,15.6 ,lenovo,lpddr5,ssd
3.81,17990.0,intel celeron dual core ,4,chrome,,14 ,asus,lpddr4x,
3.81,19990.0,intel celeron dual core ,4,chrome,,15.6 ,asus,lpddr4x,
,52990.0,intel core i3  (13th gen),8,64 bit windows 11,256,14 ,dell,lpddr5,ssd
4.27,25899.0,amd ryzen 3 dual core ,8,64 bit windows 11,256,15.6 ,acer,ddr4,ssd
3.75,18990.0,intel celeron dual core  (11th gen),8,64 bit windows 11,256,15.6 ,chuwi,ddr4,ssd
3.91,21990.0,intel celeron dual core ,4,64 bit chrome,,14 ,hp,lpddr4,
,111990.0,intel core ultra 7 ,16,windows 11,1,15.6 ,msi,ddr5,ssd
,149990.0,intel core i7  (13th gen),16,windows 11,1,16 ,msi,lpddr5,ssd
4.53,49000.0,amd ryzen 5 hexa core ,16,windows 11,512,14 ,lenovo,ddr4,ssd
4.38,55990.0,intel core i5  (11th gen),8,windows 11,512,16.1 ,hp,ddr4,ssd
3.61,17990.0,mediatek kompanio 520 ,4,chrome,,14 ,lenovo,lpddr4x,
,16490.0,intel celeron dual core ,4,64 bit windows 11,128,14.1 ,thomson,lpddr4,ssd
465.0,81999.0,intel core i5  (11th gen),16,64 bit windows 10,512,13.3 ,hp,ddr4,ssd
3.71,38849.0,intel core i3  (11th gen),8,64 bit windows 11,512,15.6 ,dell,ddr4,ssd
3.51,13990.0,intel celeron dual core  (10th gen),4,software,128,11.6 ,chuwi,lpddr4,ssd
4.21,35990.0,intel core i3  (12th gen),8,windows 11,512,39.62 cm,lenovo,ddr4,ssd
4.23,49490.0,intel core i5  (12th gen),8,64 bit windows 11,512,15.6 ,dell,ddr4,ssd
4.71,89990.0,intel core i7  (13th gen),16,windows 11,512,17.3 ,msi,ddr5,ssd
3.88,20990.0,intel celeron dual core ,8,chrome,,15.6 ,asus,lpddr4x,
3.88,17990.0,intel celeron dual core ,4,chrome,,15.6 ,asus,lpddr4x,
439.0,47499.0,intel core i5  (12th gen),8,windows 11,512,15.6 ,asus,ddr4,ssd
,71990.0,intel core i7  (12th gen),16,windows 11,512,15.6 ,msi,ddr4,ssd
4.28,74990.0,intel core i7  (12th gen),16,windows 11,512,16 ,asus,ddr4,ssd
4196.0,56990.0,intel core i5  (13th gen),8,64 bit windows 11,512,15.6 ,hp,ddr4,ssd
3.81,17990.0,intel celeron dual core ,4,chrome,,14 ,asus,lpddr4x,
3.75,18990.0,intel celeron dual core  (11th gen),8,64 bit windows 11,256,15.6 ,chuwi,ddr4,ssd
3.96,47999.0,intel core i5  (11th gen),8,linux/ubuntu,512,14 ,dell,ddr4,ssd
4.34,34990.0,mediatek kompanio 1200 ,8,64 bit chrome,256,13.3 ,hp,lpddr4x,ssd
3.81,19990.0,intel celeron dual core ,4,chrome,,15.6 ,asus,lpddr4x,
3.91,21990.0,intel celeron dual core ,4,64 bit chrome,,14 ,hp,lpddr4,
4.76,31890.0,intel core i3  (12th gen),8,linux/ubuntu,512,15.6 ,dell,ddr4,ssd
4.24,37999.0,intel core i3  (12th gen),8,windows 11 home,512,15.6 ,hp,ddr4,ssd
,73039.0,amd ryzen 5 hexa core ,8,64 bit windows 11,1,15.6 ,acer,ddr5,ssd
4.11,23490.0,intel celeron dual core ,8,32 bit windows 11 home,256,15.6 ,hp,ddr4,ssd
